,distance,country,continent,duration,mode,co2,user_name,house,region,title,rank,institution,day,month,year
38,217,France,EU,14,other,0.01214,Roger,Blackwood,Riverlands,Maester,G,Many-Faced God,14,6,2018
39,217,France,EU,14,other,0.01214,Roger,Blackwood,Riverlands,Maester,G,Many-Faced God,13,12,2018
40,223,France,EU,13,car,0.20033,Roger,Blackwood,Riverlands,Maester,G,Many-Faced God,21,6,2016
41,229,France,EU,37,train,0.01214,Roger,Blackwood,Riverlands,Maester,G,Many-Faced God,12,10,2015
42,229,France,EU,15,car,0.20033,Roger,Blackwood,Riverlands,Maester,G,Many-Faced God,9,11,2016
43,336,France,EU,106,car,0.20033,Roger,Blackwood,Riverlands,Maester,G,Many-Faced God,3,6,2019
44,383,France,EU,54,other,0.01214,Roger,Blackwood,Riverlands,Maester,G,Many-Faced God,17,1,2018
45,407,France,EU,45,other,0.01214,Roger,Blackwood,Riverlands,Maester,G,Many-Faced God,4,5,2017
46,407,France,EU,40,other,0.01214,Roger,Blackwood,Riverlands,Maester,G,Many-Faced God,2,7,2018
47,407,France,EU,16,other,0.01214,Roger,Blackwood,Riverlands,Maester,G,Many-Faced God,21,5,2019
48,481,France,EU,16,train,0.01214,Roger,Blackwood,Riverlands,Maester,G,Many-Faced God,22,9,2015
49,481,France,EU,15,train,0.01214,Roger,Blackwood,Riverlands,Maester,G,Many-Faced God,27,10,2015
50,481,France,EU,16,train,0.01214,Roger,Blackwood,Riverlands,Maester,G,Many-Faced God,30,3,2016
51,481,France,EU,126,other,0.01214,Roger,Blackwood,Riverlands,Maester,G,Many-Faced God,28,4,2019
52,563,France,EU,91,plane,0.16508,Roger,Blackwood,Riverlands,Maester,G,Many-Faced God,2,6,2014
53,604,France,EU,45,other,0.01214,Roger,Blackwood,Riverlands,Maester,G,Many-Faced God,10,5,2017
54,604,France,EU,61,plane,0.16508,Roger,Blackwood,Riverlands,Maester,G,Many-Faced God,22,1,2020
55,637,France,EU,76,train,0.01214,Roger,Blackwood,Riverlands,Maester,G,Many-Faced God,11,1,2016
56,675,France,EU,114,train,0.01214,Roger,Blackwood,Riverlands,Maester,G,Many-Faced God,19,6,2017
57,725,France,EU,112,plane,0.16508,Roger,Blackwood,Riverlands,Maester,G,Many-Faced God,29,5,2017
58,762,France,EU,142,car,0.20033,Roger,Blackwood,Riverlands,Maester,G,Many-Faced God,12,6,2016
59,835,France,EU,107,plane,0.16508,Roger,Blackwood,Riverlands,Maester,G,Many-Faced God,28,5,2018
60,299,Switzerland,EU,31,other,0.14678,Roger,Blackwood,Riverlands,Maester,G,Many-Faced God,29,6,2017
61,324,Switzerland,EU,39,car,0.20033,Roger,Blackwood,Riverlands,Maester,G,Many-Faced God,10,3,2014
62,448,Italy,EU,120,train,0.01214,Roger,Blackwood,Riverlands,Maester,G,Many-Faced God,8,9,2018
63,8046,United States,,274,plane,0.13712,Roger,Blackwood,Riverlands,Maester,G,Many-Faced God,7,12,2019
64,9430,United States,,217,plane,0.13712,Roger,Blackwood,Riverlands,Maester,G,Many-Faced God,7,4,2016
65,0,France,EU,104,other,0.075,Raymun,Darry,Riverlands,Maester,E,Faith of the Seven,7,4,2014
66,471,France,EU,52,other,0.01214,Raymun,Darry,Riverlands,Maester,E,Faith of the Seven,18,3,2020
67,652,France,EU,45,other,0.01214,Raymun,Darry,Riverlands,Maester,E,Faith of the Seven,19,6,2014
68,0,France,EU,180,plane,0.16508,Lord,Peake,Reach,Knight,I,Old Gods,23,3,2014
69,0,France,EU,26,plane,0.16508,Lord,Peake,Reach,Knight,I,Old Gods,25,3,2018
70,0,France,EU,18,plane,0.16508,Lord,Peake,Reach,Knight,I,Old Gods,26,3,2018
71,13,France,EU,50,public,0.075,Lord,Peake,Reach,Knight,I,Old Gods,14,10,2014
72,94,France,EU,10,train,0.01214,Lord,Peake,Reach,Knight,I,Old Gods,13,11,2014
73,94,France,EU,11,car,0.20033,Lord,Peake,Reach,Knight,I,Old Gods,24,6,2015
74,94,France,EU,10,other,0.20033,Lord,Peake,Reach,Knight,I,Old Gods,25,1,2016
75,94,France,EU,13,other,0.20033,Lord,Peake,Reach,Knight,I,Old Gods,4,5,2017
76,94,France,EU,8,other,0.20033,Lord,Peake,Reach,Knight,I,Old Gods,11,9,2017
77,94,France,EU,6,train,0.01214,Lord,Peake,Reach,Knight,I,Old Gods,20,3,2018
78,209,France,EU,29,other,0.01214,Lord,Peake,Reach,Knight,I,Old Gods,11,4,2019
79,229,France,EU,69,other,0.01214,Lord,Peake,Reach,Knight,I,Old Gods,29,6,2014
80,229,France,EU,48,other,0.01214,Lord,Peake,Reach,Knight,I,Old Gods,15,12,2014
81,246,France,EU,84,other,0.01214,Lord,Peake,Reach,Knight,I,Old Gods,29,9,2015
82,336,France,EU,242,plane,0.16508,Lord,Peake,Reach,Knight,I,Old Gods,15,10,2015
83,336,France,EU,103,other,0.01214,Lord,Peake,Reach,Knight,I,Old Gods,4,4,2019
84,336,France,EU,63,other,0.01214,Lord,Peake,Reach,Knight,I,Old Gods,26,5,2019
85,383,France,EU,75,other,0.01214,Lord,Peake,Reach,Knight,I,Old Gods,16,10,2014
86,383,France,EU,57,other,0.01214,Lord,Peake,Reach,Knight,I,Old Gods,6,10,2014
87,391,France,EU,17,other,0.01214,Lord,Peake,Reach,Knight,I,Old Gods,22,1,2018
88,470,France,EU,50,train,0.01214,Lord,Peake,Reach,Knight,I,Old Gods,18,1,2016
89,480,France,EU,25,train,0.01214,Lord,Peake,Reach,Knight,I,Old Gods,24,11,2015
90,481,France,EU,12,train,0.01214,Lord,Peake,Reach,Knight,I,Old Gods,29,1,2014
91,481,France,EU,34,train,0.01214,Lord,Peake,Reach,Knight,I,Old Gods,20,2,2014
92,481,France,EU,12,train,0.01214,Lord,Peake,Reach,Knight,I,Old Gods,13,3,2014
93,481,France,EU,12,other,0.01214,Lord,Peake,Reach,Knight,I,Old Gods,2,6,2014
94,481,France,EU,73,train,0.01214,Lord,Peake,Reach,Knight,I,Old Gods,14,9,2014
95,481,France,EU,7,train,0.01214,Lord,Peake,Reach,Knight,I,Old Gods,1,10,2014
96,481,France,EU,10,other,0.01214,Lord,Peake,Reach,Knight,I,Old Gods,17,12,2014
97,481,France,EU,51,train,0.01214,Lord,Peake,Reach,Knight,I,Old Gods,21,1,2015
98,481,France,EU,27,train,0.01214,Lord,Peake,Reach,Knight,I,Old Gods,26,11,2014
99,481,France,EU,27,train,0.01214,Lord,Peake,Reach,Knight,I,Old Gods,4,12,2014
100,481,France,EU,34,train,0.01214,Lord,Peake,Reach,Knight,I,Old Gods,30,3,2015
101,481,France,EU,49,train,0.01214,Lord,Peake,Reach,Knight,I,Old Gods,21,6,2015
102,481,France,EU,34,train,0.01214,Lord,Peake,Reach,Knight,I,Old Gods,17,9,2015
103,481,France,EU,67,train,0.01214,Lord,Peake,Reach,Knight,I,Old Gods,22,3,2016
104,481,France,EU,67,train,0.01214,Lord,Peake,Reach,Knight,I,Old Gods,22,3,2016
105,481,France,EU,23,train,0.01214,Lord,Peake,Reach,Knight,I,Old Gods,5,12,2016
106,481,France,EU,29,train,0.01214,Lord,Peake,Reach,Knight,I,Old Gods,31,1,2017
107,481,France,EU,29,train,0.01214,Lord,Peake,Reach,Knight,I,Old Gods,19,4,2017
108,481,France,EU,44,train,0.01214,Lord,Peake,Reach,Knight,I,Old Gods,23,11,2017
109,481,France,EU,27,train,0.01214,Lord,Peake,Reach,Knight,I,Old Gods,1,2,2018
110,481,France,EU,220,train,0.01214,Lord,Peake,Reach,Knight,I,Old Gods,11,5,2018
111,481,France,EU,123,train,0.01214,Lord,Peake,Reach,Knight,I,Old Gods,15,4,2018
112,481,France,EU,27,other,0.01214,Lord,Peake,Reach,Knight,I,Old Gods,1,7,2018
113,481,France,EU,-693,other,0.01214,Lord,Peake,Reach,Knight,I,Old Gods,18,7,2018
114,481,France,EU,30,train,0.01214,Lord,Peake,Reach,Knight,I,Old Gods,28,11,2018
115,481,France,EU,13,other,0.01214,Lord,Peake,Reach,Knight,I,Old Gods,13,2,2019
116,481,France,EU,14,other,0.01214,Lord,Peake,Reach,Knight,I,Old Gods,4,3,2019
117,481,France,EU,29,other,0.01214,Lord,Peake,Reach,Knight,I,Old Gods,22,5,2019
118,481,France,EU,29,other,0.01214,Lord,Peake,Reach,Knight,I,Old Gods,22,5,2019
119,481,France,EU,120,other,0.01214,Lord,Peake,Reach,Knight,I,Old Gods,12,6,2019
120,481,France,EU,48,other,0.01214,Lord,Peake,Reach,Knight,I,Old Gods,25,9,2019
121,481,France,EU,13,other,0.01214,Lord,Peake,Reach,Knight,I,Old Gods,23,10,2019
122,497,France,EU,29,other,0.01214,Lord,Peake,Reach,Knight,I,Old Gods,5,11,2014
123,497,France,EU,15,other,0.01214,Lord,Peake,Reach,Knight,I,Old Gods,10,5,2017
124,497,France,EU,54,plane,0.16508,Lord,Peake,Reach,Knight,I,Old Gods,14,10,2018
125,637,France,EU,216,other,0.01214,Lord,Peake,Reach,Knight,I,Old Gods,7,5,2015
126,637,France,EU,32,other,0.01214,Lord,Peake,Reach,Knight,I,Old Gods,8,5,2016
127,652,France,EU,56,other,0.01214,Lord,Peake,Reach,Knight,I,Old Gods,17,5,2017
128,657,France,EU,29,other,0.01214,Lord,Peake,Reach,Knight,I,Old Gods,9,2,2016
129,236,Switzerland,EU,39,other,0.14678,Lord,Peake,Reach,Knight,I,Old Gods,20,5,2019
130,236,Switzerland,EU,39,other,0.14678,Lord,Peake,Reach,Knight,I,Old Gods,20,5,2019
131,324,Switzerland,EU,68,train,0.01214,Lord,Peake,Reach,Knight,I,Old Gods,6,3,2016
132,324,Switzerland,EU,63,other,0.14678,Lord,Peake,Reach,Knight,I,Old Gods,14,9,2016
133,153,Italy,EU,60,other,0.14678,Lord,Peake,Reach,Knight,I,Old Gods,24,10,2018
134,465,Italy,EU,57,plane,0.14678,Lord,Peake,Reach,Knight,I,Old Gods,18,5,2015
135,655,Italy,EU,81,plane,0.14678,Lord,Peake,Reach,Knight,I,Old Gods,21,4,2016
136,655,Italy,EU,324,other,0.14678,Lord,Peake,Reach,Knight,I,Old Gods,28,4,2019
137,553,Germany,EU,25,plane,0.14678,Lord,Peake,Reach,Knight,I,Old Gods,24,6,2015
138,553,Germany,EU,107,plane,0.14678,Lord,Peake,Reach,Knight,I,Old Gods,24,8,2017
139,553,Germany,EU,106,plane,0.14678,Lord,Peake,Reach,Knight,I,Old Gods,24,8,2017
140,564,Germany,EU,36,other,0.14678,Lord,Peake,Reach,Knight,I,Old Gods,4,3,2020
141,987,Germany,EU,80,plane,0.14678,Lord,Peake,Reach,Knight,I,Old Gods,17,3,2016
142,987,Germany,EU,33,other,0.14678,Lord,Peake,Reach,Knight,I,Old Gods,16,9,2018
143,877,Austria,EU,133,other,0.14678,Lord,Peake,Reach,Knight,I,Old Gods,24,3,2018
144,637,Belgium,EU,24,train,0.01214,Lord,Peake,Reach,Knight,I,Old Gods,27,11,2014
145,637,Belgium,EU,27,train,0.01214,Lord,Peake,Reach,Knight,I,Old Gods,10,12,2014
146,637,Belgium,EU,82,plane,0.14678,Lord,Peake,Reach,Knight,I,Old Gods,23,3,2015
147,637,Belgium,EU,126,other,0.14678,Lord,Peake,Reach,Knight,I,Old Gods,17,6,2018
148,637,Belgium,EU,103,other,0.14678,Lord,Peake,Reach,Knight,I,Old Gods,8,3,2020
149,801,Netherlands,EU,108,other,0.14678,Lord,Peake,Reach,Knight,I,Old Gods,2,7,2019
150,824,United Kingdom,EU,79,plane,0.14678,Lord,Peake,Reach,Knight,I,Old Gods,10,7,2017
151,939,Algeria,AF,70,plane,0.13712,Lord,Peake,Reach,Knight,I,Old Gods,8,6,2014
152,961,Algeria,AF,108,other,0.13712,Lord,Peake,Reach,Knight,I,Old Gods,11,3,2016
153,1258,Denmark,EU,54,plane,0.14678,Lord,Peake,Reach,Knight,I,Old Gods,28,1,2016
154,1422,Portugal,EU,110,other,0.14678,Lord,Peake,Reach,Knight,I,Old Gods,25,3,2019
155,1691,Greece,EU,-570,other,0.14678,Lord,Peake,Reach,Knight,I,Old Gods,11,7,2018
156,1691,Greece,EU,1544,plane,0.14678,Lord,Peake,Reach,Knight,I,Old Gods,24,4,2020
157,1775,Sweden,EU,44,other,0.14678,Lord,Peake,Reach,Knight,I,Old Gods,13,10,2016
158,2820,Lebanon,AS,228,plane,0.13712,Lord,Peake,Reach,Knight,I,Old Gods,27,10,2017
159,3917,Saudi Arabia,AS,104,other,0.13712,Lord,Peake,Reach,Knight,I,Old Gods,25,1,2019
160,4629,Qatar,AS,126,other,0.13712,Lord,Peake,Reach,Knight,I,Old Gods,21,3,2020
161,6237,United States,,644,plane,0.13712,Lord,Peake,Reach,Knight,I,Old Gods,8,8,2018
162,6564,United States,,43,plane,0.13712,Lord,Peake,Reach,Knight,I,Old Gods,17,5,2018
163,8046,United States,,538,plane,0.13712,Lord,Peake,Reach,Knight,I,Old Gods,15,8,2015
164,9430,United States,,293,plane,0.13712,Lord,Peake,Reach,Knight,I,Old Gods,24,6,2016
165,9430,United States,,298,plane,0.13712,Lord,Peake,Reach,Knight,I,Old Gods,24,6,2016
166,9555,United States,,255,other,0.13712,Lord,Peake,Reach,Knight,I,Old Gods,23,8,2019
167,12564,United States,,566,plane,0.13712,Lord,Peake,Reach,Knight,I,Old Gods,14,8,2015
168,6400,India,AS,218,plane,0.13712,Lord,Peake,Reach,Knight,I,Old Gods,2,9,2016
169,8972,Brazil,SA,128,plane,0.13712,Lord,Peake,Reach,Knight,I,Old Gods,30,9,2017
170,9047,Brazil,SA,533,plane,0.13712,Lord,Peake,Reach,Knight,I,Old Gods,11,8,2018
171,9047,Brazil,SA,387,plane,0.13712,Lord,Peake,Reach,Knight,I,Old Gods,19,8,2018
172,10150,Brazil,SA,81,plane,0.13712,Lord,Peake,Reach,Knight,I,Old Gods,22,8,2018
173,10150,Brazil,SA,456,other,0.13712,Lord,Peake,Reach,Knight,I,Old Gods,27,10,2019
174,8322,China,AS,126,plane,0.13712,Lord,Peake,Reach,Knight,I,Old Gods,5,7,2017
175,9336,China,AS,206,plane,0.13712,Lord,Peake,Reach,Knight,I,Old Gods,30,8,2014
176,9336,China,AS,180,plane,0.13712,Lord,Peake,Reach,Knight,I,Old Gods,30,8,2014
177,9905,Japan,AS,276,other,0.13712,Lord,Peake,Reach,Knight,I,Old Gods,2,10,2016
178,9923,Japan,AS,106,plane,0.13712,Lord,Peake,Reach,Knight,I,Old Gods,11,7,2015
179,9929,Japan,AS,156,other,0.13712,Lord,Peake,Reach,Knight,I,Old Gods,7,9,2019
180,0,France,EU,35,other,0.075,Jon,Arryn,Vale,Knight,E,Old Gods,5,4,2014
181,0,France,EU,-663,public,0.075,Jon,Arryn,Vale,Knight,E,Old Gods,12,6,2018
182,44,France,EU,7,car,0.20033,Jon,Arryn,Vale,Knight,E,Old Gods,15,9,2016
183,92,France,EU,14,car,0.20033,Jon,Arryn,Vale,Knight,E,Old Gods,14,2,2020
184,94,France,EU,10,other,0.20033,Jon,Arryn,Vale,Knight,E,Old Gods,27,11,2014
185,94,France,EU,8,car,0.20033,Jon,Arryn,Vale,Knight,E,Old Gods,19,10,2015
186,94,France,EU,6,car,0.20033,Jon,Arryn,Vale,Knight,E,Old Gods,3,3,2016
187,332,France,EU,39,other,0.01214,Jon,Arryn,Vale,Knight,E,Old Gods,15,11,2018
188,336,France,EU,7,car,0.20033,Jon,Arryn,Vale,Knight,E,Old Gods,19,9,2016
189,383,France,EU,40,plane,0.16508,Jon,Arryn,Vale,Knight,E,Old Gods,8,9,2014
190,383,France,EU,40,train,0.01214,Jon,Arryn,Vale,Knight,E,Old Gods,6,7,2015
191,383,France,EU,40,other,0.01214,Jon,Arryn,Vale,Knight,E,Old Gods,22,11,2016
192,383,France,EU,86,plane,0.16508,Jon,Arryn,Vale,Knight,E,Old Gods,24,6,2018
193,481,France,EU,15,train,0.01214,Jon,Arryn,Vale,Knight,E,Old Gods,11,3,2014
194,481,France,EU,55,train,0.01214,Jon,Arryn,Vale,Knight,E,Old Gods,15,11,2016
195,481,France,EU,30,train,0.01214,Jon,Arryn,Vale,Knight,E,Old Gods,5,7,2017
196,481,France,EU,60,other,0.01214,Jon,Arryn,Vale,Knight,E,Old Gods,30,6,2019
197,497,France,EU,17,other,0.01214,Jon,Arryn,Vale,Knight,E,Old Gods,14,10,2019
198,691,Italy,EU,88,plane,0.14678,Jon,Arryn,Vale,Knight,E,Old Gods,19,7,2015
199,664,Germany,EU,104,other,0.14678,Jon,Arryn,Vale,Knight,E,Old Gods,16,7,2017
200,1028,Germany,EU,64,other,0.14678,Jon,Arryn,Vale,Knight,E,Old Gods,22,3,2017
201,877,Austria,EU,133,plane,0.14678,Jon,Arryn,Vale,Knight,E,Old Gods,3,7,2016
202,695,Netherlands,EU,57,plane,0.14678,Jon,Arryn,Vale,Knight,E,Old Gods,16,7,2019
203,824,United Kingdom,EU,40,plane,0.14678,Jon,Arryn,Vale,Knight,E,Old Gods,22,5,2019
204,892,United Kingdom,EU,61,plane,0.14678,Jon,Arryn,Vale,Knight,E,Old Gods,16,7,2018
205,1091,United Kingdom,EU,92,plane,0.14678,Jon,Arryn,Vale,Knight,E,Old Gods,20,7,2014
206,1244,Portugal,EU,126,plane,0.14678,Jon,Arryn,Vale,Knight,E,Old Gods,21,6,2016
207,1244,Portugal,EU,93,plane,0.14678,Jon,Arryn,Vale,Knight,E,Old Gods,8,10,2019
208,9867,Taiwan,AS,169,other,0.13712,Jon,Arryn,Vale,Knight,E,Old Gods,22,10,2016
209,0,France,EU,635,other,0.075,Braxton,Beesbury,Reach,Knight,E,Old Gods,25,5,2014
210,0,France,EU,592,other,0.075,Braxton,Beesbury,Reach,Knight,E,Old Gods,23,2,2017
211,0,France,EU,520,other,0.075,Braxton,Beesbury,Reach,Knight,E,Old Gods,15,4,2017
212,72,France,EU,35,other,0.20033,Braxton,Beesbury,Reach,Knight,E,Old Gods,14,6,2018
213,78,France,EU,127,other,0.20033,Braxton,Beesbury,Reach,Knight,E,Old Gods,17,6,2018
214,94,France,EU,21,other,0.20033,Braxton,Beesbury,Reach,Knight,E,Old Gods,26,3,2014
215,94,France,EU,16,car,0.20033,Braxton,Beesbury,Reach,Knight,E,Old Gods,15,5,2014
216,94,France,EU,71,other,0.20033,Braxton,Beesbury,Reach,Knight,E,Old Gods,2,3,2015
217,94,France,EU,10,car,0.20033,Braxton,Beesbury,Reach,Knight,E,Old Gods,22,4,2015
218,94,France,EU,11,plane,0.16508,Braxton,Beesbury,Reach,Knight,E,Old Gods,21,4,2015
219,94,France,EU,78,other,0.20033,Braxton,Beesbury,Reach,Knight,E,Old Gods,25,10,2015
220,94,France,EU,81,other,0.20033,Braxton,Beesbury,Reach,Knight,E,Old Gods,25,10,2015
221,94,France,EU,10,car,0.20033,Braxton,Beesbury,Reach,Knight,E,Old Gods,8,2,2016
222,94,France,EU,11,other,0.20033,Braxton,Beesbury,Reach,Knight,E,Old Gods,10,5,2016
223,94,France,EU,13,other,0.20033,Braxton,Beesbury,Reach,Knight,E,Old Gods,17,2,2017
224,94,France,EU,31,other,0.20033,Braxton,Beesbury,Reach,Knight,E,Old Gods,25,9,2018
225,94,France,EU,13,other,0.20033,Braxton,Beesbury,Reach,Knight,E,Old Gods,11,4,2019
226,94,France,EU,33,other,0.20033,Braxton,Beesbury,Reach,Knight,E,Old Gods,9,9,2019
227,94,France,EU,33,other,0.20033,Braxton,Beesbury,Reach,Knight,E,Old Gods,16,10,2019
228,94,France,EU,12,other,0.20033,Braxton,Beesbury,Reach,Knight,E,Old Gods,15,10,2019
229,94,France,EU,33,other,0.20033,Braxton,Beesbury,Reach,Knight,E,Old Gods,30,9,2019
230,94,France,EU,13,other,0.20033,Braxton,Beesbury,Reach,Knight,E,Old Gods,30,1,2020
231,94,France,EU,14,other,0.20033,Braxton,Beesbury,Reach,Knight,E,Old Gods,6,2,2020
232,94,France,EU,40,other,0.20033,Braxton,Beesbury,Reach,Knight,E,Old Gods,18,2,2020
233,94,France,EU,63,car,0.20033,Braxton,Beesbury,Reach,Knight,E,Old Gods,10,3,2020
234,212,France,EU,17,other,0.01214,Braxton,Beesbury,Reach,Knight,E,Old Gods,23,3,2017
235,217,France,EU,52,other,0.01214,Braxton,Beesbury,Reach,Knight,E,Old Gods,19,5,2019
236,336,France,EU,12,other,0.01214,Braxton,Beesbury,Reach,Knight,E,Old Gods,15,1,2014
237,336,France,EU,12,other,0.01214,Braxton,Beesbury,Reach,Knight,E,Old Gods,19,2,2014
238,336,France,EU,374,plane,0.16508,Braxton,Beesbury,Reach,Knight,E,Old Gods,17,11,2014
239,336,France,EU,13,other,0.01214,Braxton,Beesbury,Reach,Knight,E,Old Gods,5,2,2015
240,336,France,EU,89,other,0.01214,Braxton,Beesbury,Reach,Knight,E,Old Gods,21,9,2017
241,336,France,EU,13,other,0.01214,Braxton,Beesbury,Reach,Knight,E,Old Gods,23,11,2017
242,362,France,EU,344,other,0.01214,Braxton,Beesbury,Reach,Knight,E,Old Gods,17,5,2017
243,390,France,EU,277,other,0.01214,Braxton,Beesbury,Reach,Knight,E,Old Gods,22,6,2015
244,390,France,EU,287,train,0.01214,Braxton,Beesbury,Reach,Knight,E,Old Gods,21,6,2015
245,390,France,EU,59,plane,0.16508,Braxton,Beesbury,Reach,Knight,E,Old Gods,4,2,2016
246,390,France,EU,15,other,0.01214,Braxton,Beesbury,Reach,Knight,E,Old Gods,19,9,2016
247,390,France,EU,323,train,0.01214,Braxton,Beesbury,Reach,Knight,E,Old Gods,25,6,2017
248,390,France,EU,313,train,0.01214,Braxton,Beesbury,Reach,Knight,E,Old Gods,25,6,2017
249,420,France,EU,63,other,0.01214,Braxton,Beesbury,Reach,Knight,E,Old Gods,31,1,2018
250,420,France,EU,62,other,0.01214,Braxton,Beesbury,Reach,Knight,E,Old Gods,12,2,2020
251,481,France,EU,34,train,0.01214,Braxton,Beesbury,Reach,Knight,E,Old Gods,16,4,2015
252,481,France,EU,35,other,0.01214,Braxton,Beesbury,Reach,Knight,E,Old Gods,1,10,2017
253,481,France,EU,60,other,0.01214,Braxton,Beesbury,Reach,Knight,E,Old Gods,8,8,2018
254,481,France,EU,50,train,0.01214,Braxton,Beesbury,Reach,Knight,E,Old Gods,14,3,2019
255,481,France,EU,35,other,0.01214,Braxton,Beesbury,Reach,Knight,E,Old Gods,27,3,2019
256,481,France,EU,37,other,0.01214,Braxton,Beesbury,Reach,Knight,E,Old Gods,23,3,2020
257,481,France,EU,83,train,0.01214,Braxton,Beesbury,Reach,Knight,E,Old Gods,7,4,2020
258,497,France,EU,132,train,0.01214,Braxton,Beesbury,Reach,Knight,E,Old Gods,14,3,2016
259,652,France,EU,79,plane,0.16508,Braxton,Beesbury,Reach,Knight,E,Old Gods,25,6,2019
260,153,Italy,EU,61,other,0.14678,Braxton,Beesbury,Reach,Knight,E,Old Gods,20,6,2019
261,271,Italy,EU,79,plane,0.14678,Braxton,Beesbury,Reach,Knight,E,Old Gods,1,2,2016
262,511,Spain,EU,83,other,0.14678,Braxton,Beesbury,Reach,Knight,E,Old Gods,3,6,2015
263,511,Spain,EU,72,other,0.14678,Braxton,Beesbury,Reach,Knight,E,Old Gods,13,6,2016
264,511,Spain,EU,178,car,0.20033,Braxton,Beesbury,Reach,Knight,E,Old Gods,6,2,2017
265,511,Spain,EU,222,plane,0.14678,Braxton,Beesbury,Reach,Knight,E,Old Gods,21,9,2017
266,511,Spain,EU,86,other,0.14678,Braxton,Beesbury,Reach,Knight,E,Old Gods,7,2,2018
